source_file;Project;Test;Result_index;Result;Interval;expected_points;Point No.;Time [min];Temperature [°C];Storage Modulus [Pa];Loss Modulus [Pa];Loss Factor [1];Complex Viscosity [Pa·s];Gap [mm];Normal Force [N];Torque [µN·m];Status;Test Time [s]
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;328;54.7;37.0;4165.7;9.2115;0.00221;662.99;0.102;;1357.8;;3292.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;329;54.8;37.0;4171.0;14.86;0.00356;663.84;0.102;;1363.0;;3302.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;330;55.0;37.0;4188.3;13.615;0.00325;666.59;0.102;;1367.4;;3312.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;331;55.2;37.0;4206.7;10.778;0.00256;669.53;0.102;;1372.4;;3322.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;332;55.3;37.0;4223.9;9.3724;0.00222;672.26;0.102;;1377.3;;3332.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;333;55.5;37.0;4231.8;13.403;0.00317;673.52;0.102;;1382.5;;3342.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;334;55.7;37.0;4254.4;8.0901;0.0019;677.12;0.102;;1387.1;;3352.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;335;55.8;37.0;4266.2;10.367;0.00243;678.99;0.102;;1391.9;;3362.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;336;56.0;37.0;4273.9;16.005;0.00374;680.22;0.102;;1397.2;;3372.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;337;56.2;37.0;4298.7;9.78;0.00228;684.16;0.102;;1401.6;;3382.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;338;56.3;37.0;4296.4;15.27;0.00355;683.79;0.102;;1406.3;;3392.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;339;56.5;37.0;4309.5;15.507;0.0036;685.88;0.102;;1408.2;;3402.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;340;56.7;37.0;4335.5;7.7605;0.00179;690.01;0.102;;1413.2;;3412.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;341;56.8;37.0;4340.5;14.045;0.00324;690.81;0.102;;1419.1;;3422.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;342;57.0;37.0;4351.9;15.577;0.00358;692.63;0.102;;1422.1;;3432.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;343;57.2;37.0;4371.9;11.345;0.0026;695.8;0.102;;1426.6;;3442.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;344;57.3;37.0;4374.7;18.524;0.00423;696.27;0.102;;1431.8;;3452.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;345;57.5;37.0;4394.1;15.794;0.00359;699.35;0.102;;1434.7;;3462.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;346;57.7;37.0;4412.9;12.558;0.00285;702.34;0.102;;1440.4;;3472.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;347;57.8;37.0;4430.8;9.4621;0.00214;705.19;0.102;;1445.6;;3482.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;348;58.0;37.0;4367.2;43.603;0.00998;695.1;0.102;;1450.2;;3492.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;349;58.2;37.0;4416.9;14.013;0.00317;702.98;0.102;;1436.2;;3502.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;350;58.3;37.0;4432.3;13.662;0.00308;705.43;0.102;;1446.8;;3512.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;351;58.5;37.0;4447.0;13.48;0.00303;707.76;0.102;;1451.4;;3522.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;352;58.7;37.0;4461.4;13.601;0.00305;710.06;0.102;;1456.9;;3532.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;353;58.8;37.0;4477.3;11.896;0.00266;712.58;0.102;;1461.2;;3542.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;354;59.0;37.0;4482.3;18.803;0.00419;713.39;0.102;;1466.0;;3552.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;355;59.2;37.0;4506.1;12.076;0.00268;717.17;0.102;;1470.1;;3562.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;356;59.3;37.0;4521.1;11.592;0.00256;719.55;0.102;;1475.3;;3572.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;357;59.5;37.0;4511.8;17.662;0.00391;718.08;0.102;;1475.8;;3582.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;358;59.7;37.0;4528.6;16.927;0.00374;720.75;0.102;;1479.1;;3592.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;359;59.8;37.0;4547.5;13.994;0.00308;723.77;0.102;;1484.2;;3602.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;360;60.0;37.0;4562.8;13.215;0.0029;726.19;0.102;;1488.8;;3612.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;361;60.2;37.0;4570.0;17.681;0.00387;727.34;0.102;;1493.3;;3622.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;362;60.3;37.0;4583.9;18.996;0.00414;729.56;0.102;;1497.6;;3632.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;363;60.5;37.0;4599.8;18.262;0.00397;732.09;0.102;;1502.7;;3642.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;364;60.7;37.0;4619.6;15.018;0.00325;735.23;0.102;;1507.8;;3652.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;365;60.8;37.0;4623.4;22.12;0.00478;735.85;0.102;;1512.8;;3662.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;366;61.0;37.0;4645.9;17.223;0.00371;739.43;0.102;;1517.3;;3672.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;367;61.2;37.0;4664.3;15.57;0.00334;742.35;0.102;;1522.3;;3682.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;368;61.3;37.0;4677.7;16.049;0.00343;744.49;0.102;;1527.1;;3692.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;369;61.5;37.0;4690.0;18.262;0.00389;746.45;0.102;;1532.0;;3702.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;370;61.7;37.0;4660.7;17.841;0.00383;741.78;0.102;;1523.6;;3712.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;371;61.8;37.0;4675.4;17.61;0.00377;744.13;0.102;;1527.0;;3722.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;372;62.0;37.0;4686.8;20.691;0.00441;745.94;0.102;;1531.7;;3732.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;373;62.2;37.0;4710.3;15.501;0.00329;749.68;0.102;;1536.7;;3742.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;374;62.3;37.0;4724.9;15.446;0.00327;752.0;0.102;;1542.2;;3752.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;375;62.5;37.0;4734.5;19.083;0.00403;753.53;0.102;;1546.6;;3762.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;376;62.7;37.0;4745.6;21.663;0.00456;755.3;0.102;;1551.3;;3772.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;377;62.8;37.0;4756.9;23.745;0.00499;757.1;0.102;;1555.7;;3782.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;378;63.0;37.0;4782.4;17.893;0.00374;761.15;0.102;;1560.4;;3792.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;379;63.2;37.0;4799.1;16.781;0.0035;763.81;0.102;;1566.4;;3802.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;380;63.3;37.0;4809.9;19.172;0.00399;765.53;0.102;;1571.4;;3812.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;381;63.5;37.0;4824.6;19.615;0.00407;767.86;0.102;;1575.4;;3822.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;382;63.7;37.0;4835.8;22.195;0.00459;769.65;0.102;;1580.4;;3832.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;383;63.8;37.0;4852.4;21.26;0.00438;772.3;0.102;;1585.0;;3842.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;384;64.0;37.0;4874.1;17.56;0.0036;775.74;0.102;;1590.8;;3852.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;385;64.2;37.0;4890.6;16.364;0.00335;778.37;0.102;;1595.8;;3862.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;386;64.3;37.0;4890.0;16.911;0.00346;778.27;0.102;;1596.5;;3872.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;387;64.5;37.0;4900.8;19.497;0.00398;780.0;0.102;;1600.3;;3882.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;388;64.7;37.0;4912.7;22.474;0.00457;781.89;0.102;;1605.4;;3892.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;389;64.8;37.0;4929.1;19.772;0.00401;784.5;0.102;;1609.7;;3902.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;390;65.0;37.0;4938.2;24.25;0.00491;785.95;0.102;;1614.6;;3912.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;391;65.2;37.0;4957.8;22.483;0.00453;789.07;0.102;;1618.9;;3922.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;392;65.3;37.0;4974.6;21.618;0.00435;791.73;0.102;;1624.8;;3932.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;393;65.5;37.0;4984.9;23.673;0.00475;793.38;0.102;;1629.3;;3942.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;394;65.7;37.0;5003.2;23.06;0.00461;796.28;0.102;;1633.7;;3952.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;395;65.8;37.0;5024.2;19.674;0.00392;799.64;0.102;;1638.9;;3962.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;396;66.0;37.0;5037.7;19.971;0.00396;801.78;0.102;;1645.0;;3972.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;397;66.2;37.0;5043.3;26.307;0.00522;802.68;0.102;;1649.3;;3982.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;398;66.3;37.0;5064.4;23.092;0.00456;806.03;0.102;;1652.8;;3992.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;399;66.5;37.0;5087.2;18.931;0.00372;809.66;0.102;;1658.7;;4002.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;400;66.7;37.0;5096.4;22.394;0.00439;811.12;0.102;;1664.2;;4012.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;401;66.8;37.0;5106.7;26.214;0.00513;812.77;0.102;;1669.2;;4022.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;402;67.0;37.0;5125.2;25.037;0.00489;815.71;0.102;;1673.3;;4032.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;403;67.2;37.0;5138.1;25.479;0.00496;817.77;0.102;;1677.7;;4042.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;404;67.3;37.0;5152.1;27.593;0.00536;819.99;0.102;;1683.2;;4052.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;405;67.5;37.0;5173.3;23.439;0.00453;823.37;0.102;;1687.5;;4062.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;406;67.7;37.0;5173.1;34.597;0.00669;823.34;0.102;;1693.2;;4072.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;407;67.8;37.0;5204.4;23.763;0.00457;828.31;0.102;;1697.4;;4082.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;408;68.0;37.0;5198.1;39.311;0.00756;827.33;0.102;;1703.4;;4092.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;409;68.2;37.0;5228.6;33.443;0.0064;832.17;0.102;;1704.6;;4102.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;410;68.3;37.0;5237.8;32.007;0.00611;833.64;0.102;;1713.0;;4112.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;411;68.5;37.0;5260.9;27.625;0.00525;837.31;0.102;;1716.8;;4122.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;412;68.7;37.0;5277.7;27.334;0.00518;839.98;0.102;;1723.2;;4132.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;413;68.8;37.0;5281.0;36.03;0.00682;840.52;0.102;;1728.2;;4142.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;414;69.0;37.0;5324.7;28.209;0.0053;847.46;0.102;;1732.2;;4152.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;415;69.2;37.0;5310.0;38.556;0.00726;845.14;0.102;;1734.2;;4162.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;416;69.3;37.0;5335.2;30.697;0.00575;849.13;0.102;;1741.1;;4172.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;417;69.5;37.0;5352.5;30.149;0.00563;851.89;0.102;;1748.0;;4182.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;418;69.7;37.0;5361.3;35.4;0.0066;853.3;0.102;;1753.1;;4192.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;419;69.8;37.0;5381.8;32.176;0.00598;856.56;0.102;;1756.9;;4202.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;420;70.0;37.0;5395.0;36.055;0.00668;858.67;0.102;;1762.7;;4212.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;421;70.2;37.0;5390.5;37.552;0.00697;857.95;0.102;;1763.6;;4222.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;422;70.3;37.0;5409.1;35.609;0.00658;860.91;0.102;;1767.2;;4232.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;423;70.5;37.0;5425.2;37.504;0.00691;863.46;0.102;;1772.2;;4242.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;424;70.7;37.0;5441.3;37.325;0.00686;866.02;0.102;;1778.0;;4252.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;425;70.8;37.0;5460.5;34.917;0.00639;869.08;0.102;;1781.7;;4262.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;426;71.0;37.0;5469.3;40.467;0.0074;870.49;0.102;;1787.4;;4272.0
