source_file;Project;Test;Result_index;Result;Interval;expected_points;Point No.;Time [min];Temperature [°C];Storage Modulus [Pa];Loss Modulus [Pa];Loss Factor [1];Complex Viscosity [Pa·s];Gap [mm];Normal Force [N];Torque [µN·m];Status;Test Time [s]
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;263;43.8;37.0;3231.5;8.3579;0.00259;514.31;0.102;;1054.8;;2642.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;264;44.0;37.0;3245.3;11.051;0.00341;516.5;0.102;;1059.7;;2652.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;265;44.2;37.0;3267.2;7.4821;0.00229;519.99;0.102;;1064.9;;2662.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;266;44.3;37.0;3286.4;5.0837;0.00155;523.05;0.102;;1070.5;;2672.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;267;44.5;37.0;3296.3;9.8667;0.00299;524.63;0.102;;1076.1;;2682.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;268;44.7;37.0;3318.4;6.2905;0.0019;528.14;0.102;;1081.2;;2692.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;269;44.8;37.0;3329.2;9.1402;0.00275;529.86;0.102;;1086.7;;2702.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;270;45.0;37.0;3345.9;9.5725;0.00286;532.52;0.102;;1091.7;;2712.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;271;45.2;37.0;3365.8;7.0107;0.00208;535.69;0.102;;1096.9;;2722.0
Gelatine 10% + TG 5mg_mL 1.csv;Isothermic Test Gelatine | MU15AC33010, 02.07.2026 | 1;Gelatine 10% + TG 5mg/mL 1;1;Time (oscillation) 1;1;600;272;45.3;37.0;3379.7;8.3006;0.00246;537.89;0.102;;1102.7;;2732.0
